"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[99]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[90]",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","1","tests.tests_setup","test_setup","TestSetUp","","","test_setup_2[23]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[95-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[80]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_dependencies","test_dependencies","TestDependencies","","","test_dependencies_4",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[55-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[44-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[91]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","15002","tests.tests_setup","test_async_setup","TestAsyncSetUp","","","test_setup_failed_1","
        test setup failed
        :return: None
        "
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[81]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","1","tests.test_attatch","test_attatch_html","TestAttach","","","Files info",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[56-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[73]",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","1","tests.tests_setup","test_setup","TestSetUp","","","test_setup_1[3]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[94]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[3]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[32-file20]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_hook_results","test_hook_results","TestsHookResults","","","test_hook_results_example_2[4]","
        Example two
        :return: None
        "
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[19-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[48]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[61]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[31]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[55]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[28]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[30-file20]",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_setup","TestSetUp","","","test_setup_failed_2[20]","
        test setup failed
        :return: None
        "
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[3-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[82-file20]",""
"failed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","1","tests.tests_hook_results","test_hook_results","TestsHookResults","","","test_hook_results_example_2[3]","
        Example two
        :return: None
        "
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[49-file20]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_hook_results","test_hook_results","TestsHookResults","","","test_hook_results_example_2[2]","
        Example two
        :return: None
        "
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[98-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[40]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[23-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_fixtures","test_fixtures","TestFixtures","","","test_get_number[3]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[65]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[31-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[7-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_hook_results","test_hook_results","TestsHookResults","","","test_hook_results_example_3[2]","
        Example two
        :return: None
        "
"passed","Sun Jul 21 13:47:47 IDT 2024","Sun Jul 21 13:47:49 IDT 2024","2001","tests.tests_teardown","test_teardown","TestTearDown","","","test_teardown_1[2]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[10]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[19]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[78-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[90-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[17-file20]",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_setup","TestSetUp","","","test_setup_2[22]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[25]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[29]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[69]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[16]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[72-file20]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_fixtures","test_fixtures","TestFixtures","","","test_get_number[10]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[35-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[47-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[58-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[84]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[76]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[51-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[8-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","1","tests.tests_hook_results","test_hook_results","TestsHookResults","","","test_hook_results_example_1","
        Example one
        :return: None
        "
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[93-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[52-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[77-file20]",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:47 IDT 2024","1001","tests.tests_teardown","test_teardown","TestTearDown","","","test_teardown_1[1]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[46-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[73-file20]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_fixtures","test_fixtures","TestFixtures","","","test_get_number[8]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_fixtures","test_fixtures","TestFixtures","","","test_get_number[6]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","4","tests.test_attatch","test_attatch_html","TestAttach","","","Files Execution Time",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[25-file20]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_fixtures","test_fixtures","TestFixtures","","","test_odd_numbers_list_len",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.test_attatch","test_attatch_html","TestAttach","","","Attach html",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[53-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[57]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[32]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[6-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[64-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[52]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_dependencies","test_dependencies","TestDependencies","","","test_dependencies_5",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[27-file20]",""
"passed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_setup","TestSetUp","","","test_setup_2[24]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[8]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[72]",""
"passed","Sun Jul 21 13:47:52 IDT 2024","Sun Jul 21 13:47:56 IDT 2024","3996","tests.tests_teardown","test_teardown","TestTearDown","","","test_teardown_2[4]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[89]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[14-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[87]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[50]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[98]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[75-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[74]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[85]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[60-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[41-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[54-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[17]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[45-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[95]",""
"passed","Sun Jul 21 13:48:31 IDT 2024","Sun Jul 21 13:48:31 IDT 2024","0","tests.tests_dependencies","test_dependencies","TestDependencies","","","test_dependencies_last",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[44]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[71-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[76-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_hook_results","test_hook_results","TestsHookResults","","","test_hook_results_example_3[4]","
        Example two
        :return: None
        "
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[2]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[81-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[96]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[65-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[67-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[9-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[42]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[15]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[6]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[2-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[92-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[53]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[16-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[88]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[62-file20]",""
"failed","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_setup","TestSetUp","","","test_setup_failed_3[20]","
        test setup failed
        :return: None
        "
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[37]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[36]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[7]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[42-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[22]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_hook_results","test_hook_results","TestsHookResults","","","test_hook_results_example_3[6]","
        Example two
        :return: None
        "
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[38-file20]",""
"passed","Sun Jul 21 13:47:56 IDT 2024","Sun Jul 21 13:48:01 IDT 2024","4996","tests.tests_teardown","test_teardown","TestTearDown","","","test_teardown_2[5]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[5-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[4-file20]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[26-file20]",""
"passed","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","tests.tests_fixtures","test_fixtures","TestFixtures","","","test_even_numbers_list_len",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[11-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[11]",""
"passed","Sun Jul 21 13:48:07 IDT 2024","Sun Jul 21 13:48:14 IDT 2024","6998","tests.tests_teardown","test_teardown","TestTearDown","","","test_teardown_3[7]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[12]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[33]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[5]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[93]",""
"skipped","Sun Jul 21 13:47:31 IDT 2024","Sun Jul 21 13:47:31 IDT 2024","0","Benchmarks","test_case","TestBenchmark","","","test_file_running_time[43-file20]",""
"broken","Sun Jul 21 13:47:46 IDT 2024","Sun Jul 21 13:47:46 IDT 2024","0","tests.tests_setup","test_steup_2","TestSetup2","","","test_setup_1[58]",""
